year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,mode
2000,ALABAMA,AL,AUTAUGA,US PRESIDENT,AL GORE,DEMOCRAT,4942,17208,TOTAL
2000,ALABAMA,AL,AUTAUGA,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11993,17208,TOTAL
2000,ALABAMA,AL,AUTAUGA,US PRESIDENT,RALPH NADER,GREEN,160,17208,TOTAL
2000,ALABAMA,AL,AUTAUGA,US PRESIDENT,OTHER,OTHER,113,17208,TOTAL
2000,ALABAMA,AL,BALDWIN,US PRESIDENT,AL GORE,DEMOCRAT,13997,56480,TOTAL
2000,ALABAMA,AL,BALDWIN,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,40872,56480,TOTAL
2000,ALABAMA,AL,BALDWIN,US PRESIDENT,RALPH NADER,GREEN,1033,56480,TOTAL
2000,ALABAMA,AL,BALDWIN,US PRESIDENT,OTHER,OTHER,578,56480,TOTAL
2000,ALABAMA,AL,BARBOUR,US PRESIDENT,AL GORE,DEMOCRAT,5188,10395,TOTAL
2000,ALABAMA,AL,BARBOUR,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5096,10395,TOTAL
2000,ALABAMA,AL,BARBOUR,US PRESIDENT,RALPH NADER,GREEN,46,10395,TOTAL
2000,ALABAMA,AL,BARBOUR,US PRESIDENT,OTHER,OTHER,65,10395,TOTAL
2000,ALABAMA,AL,BIBB,US PRESIDENT,AL GORE,DEMOCRAT,2710,7101,TOTAL
2000,ALABAMA,AL,BIBB,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4273,7101,TOTAL
2000,ALABAMA,AL,BIBB,US PRESIDENT,RALPH NADER,GREEN,52,7101,TOTAL
2000,ALABAMA,AL,BIBB,US PRESIDENT,OTHER,OTHER,66,7101,TOTAL
2000,ALABAMA,AL,BLOUNT,US PRESIDENT,AL GORE,DEMOCRAT,4977,17973,TOTAL
2000,ALABAMA,AL,BLOUNT,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12667,17973,TOTAL
2000,ALABAMA,AL,BLOUNT,US PRESIDENT,RALPH NADER,GREEN,154,17973,TOTAL
2000,ALABAMA,AL,BLOUNT,US PRESIDENT,OTHER,OTHER,175,17973,TOTAL
